id,text,beer_rating
206,"Блин, эта дорама просто как отпуск на острове с пивом - полный релакс! Не шедевр, но кто-то же должен развеселить тебя вечером. 7.5 из 10 - за непринужденную атмосферу и хороший угар",7.5
207,"Вот я думала, что эта дорама - просто так себе, но с пивом в руке, она вдруг стала каким-то магическим порталом в мир веселья. Никаких глубоких мыслей, просто угар и приколы. 8 из 10 - за неожиданный веселый вечер!",8.0
208,"Эта дорама - как оазис смеха в мире серьезных сюжетов. Честно, когда смотришь под пиво, забываешь о всех заботах и просто наслаждаешься. 9 из 10 - за отпуск в мире смеха!",9.0
209,"Не шедевр, но зато идеальная под пиво дорама! Смотришь и думаешь: ""Ну вот это именно то, что надо после тяжелого дня"". 8.5 из 10 - за хорошее настроение и отдых от серьезности жизни!",8.5
210,"Бля, эта дорама - просто праздник смеха! Сидишь с друзьями, открываешь пиво, и вот уже хохочешь над абсурдными сценами. 7 из 10 - за веселые вечера и встречи с друзьями!",7.0
211,"Брат, эта дорама - словно ты пытаешься на вечер собрать мозаичный портрет, но все кусочки пазла заменены на бутылки пива. Не великолепна, но беспокойно весело! Смотришь и думаешь: ""Кто придумал такую хрень, и почему я смеюсь?"" 7.5 из 10 - за неожиданное влечение к алкоголю и пивной вайб!",9.0
212,"Вот ты смотришь эту дораму, а она, как коктейль с привкусом алкогольного эксперимента - странно, но таинственно завораживает. Пиво добавляет ей какой-то непонятной пикантности, словно ты играешь в алкогольный рулет. 8 из 10 - за алкогольное путешествие и капельку сомнительной экзотики!",8.0
213,"Эта дорама - как забытая бутылка виски в баре: не сразу понимаешь, как она туда попала, но когда уже пьешь, понимаешь, что она - открытие. Не шедевр, но создает атмосферу алкогольной беззаботности. 9 из 10 - за веселые алкогольные сюжеты и непредсказуемую угарную подачу!",9.0
214,"Не шедевр, а такой вот коктейль - не каждому по вкусу, но в нем есть что-то завлекающее. Смотришь с пивом и думаешь: ""Может, еще одну банку откроем?"". 8.5 из 10 - за неожиданный алкогольный эксперимент и некий аромат свободы от серьезности!",8.5
215,"Эта дорама - как встреча с пьяным другом, который выдает басни про свои алкогольные приключения. Смотришь, улыбаешься и понимаешь, что она становится неотъемлемой частью вечерних разговоров. 7 из 10 - за легкую дозу алкогольного смеха и приятные пивные встречи!",7.0
216,"Смотрела эту дораму, и честно, она как после перебора с алкоголем - пустота и недоумение. Сюжет, как опохмел, оставляет ощущение, что лучше бы я этого не делала. 4 из 10 - за вечер, который я бы предпочла потратить по-другому.",3.0
217,"Ну вот, встречаешь эту дораму, как встреча с похмельем - нечему радоваться и неясно, как ты туда попал. Сюжет как будто вымытый спиртом, и не важно, сколько пива в руке - ощущение пустоты остается. 3 из 10 - за потерянные часы жизни.",2.0
218,"Брат, смотрела эту дораму, и она как запой - неинтересно и тяжело. Ни алкоголь, ни пиво не сделали ее смешнее или интереснее. 2 из 10 - за алкогольный дурман и невнятный сюжет.",1.0
219,"Эта дорама - как прогулка после бурного застолья. Не смешно, не интересно, и даже пиво не спасает ситуацию. 3.5 из 10 - за алкогольный послевкусие и полное отсутствие впечатлений.",3.0
220,"Блин, смотрела эту дрянь с пивом, и честно, лучше бы я просто посмотрела в стену. Сюжет, как тяжелая похмельная головная боль, и никакое количество алкоголя не делает его более переносимым. 2.5 из 10 - за алкогольный угар, который так и не пришел.",2.0
221,"Эта дорама - как бутылка обычного пива. Ничего особенного, но и не вызывает крайних эмоций. Средний уровень интереса, 5.5 из 10.",4.0
222,"Смотрела дораму, нейтральное восприятие, как вечер с обычным пивом. Не плохо, но и не зацепило. 6 из 10.",5.0
223,"Эта дорама - как случайное пиво в холодильнике. Нейтрально, но вполне себе пригодится для расслабления. 6.5 из 10.",6.0
224,"Ну, смотрела эту дораму, впечатления как от тихого вечера с бокалом вина. Умеренно интересно, без излишней эмоциональности. 7 из 10.",5.7
225,"Дорама, как обычная банка легкого пива. Ничего особенного, но и не разочаровала. Смотреть можно для релакса. 6.5 из 10.",5.0
226,Советую понравилась комедия есть где посмеяться.,4.8
227,В общем то не важно кто и как сыграл Главное что фильм о сам ом главном-о человеческих отношенях!О ЛЮБВИ!!!,3.0
228,для семейного просмотра комедия прикольна.,5.0
229,"Ничего сказать, фильм душевный.",4.0
230,👍🏻Всем советую посмотреть,5.0
231,"Что хорошего вы нашли? Плоский не интересный сценарий, игра актеров мягко говоря ""средняя"", о финальной битве со злодеем вообще не буду говорить.... позорище.",2.0
232,"Отличный фильм, зло победили, жду с нетерпением продолжение",4.0
233,"Фильм сделан на коленке, спецэффекты не в счет. Даже рядом не стоял с первой частью. Потеряна вся атмосферность, смотрите, но не ожидайте хорошего фильма.",3.6
234,Прекрасный фильм! Наверно лучшее за многие годы.,6.0
235,"Всей команде спасибо, давно не смотрела русских фильмов, но продолжения богатыря ждали всей семьей.",4.0
236,"Монтаж кто делал? - Глухие? Почему голоса еле слышно, баланс ужасно отстроен. Ничего не слышно.",1.0
237,"Четкий нет слов, странно что оценка на кинопоиске слабая (((((",5.0
238,Очень классный фильм! :-),7.0
239,Очень понравился и посмеялись от души,8.0
